Snippet,[accessing.nullable] accessing a possibly-null array previousRoomPoint,[argument] incompatible argument for parameter arg0 of add.,[argument] incompatible argument for parameter arg1 of arraycopy.,[argument] incompatible argument for parameter arg3 of arraycopy.,[argument] incompatible argument for parameter arg4 of arraycopy.,[argument] incompatible argument for parameter at of getPathIterator.,[argument] incompatible argument for parameter beginIndex of substring.,[argument] incompatible argument for parameter c of process.,[argument] incompatible argument for parameter cell of addCell.,[argument] incompatible argument for parameter date of suspendedSince.,[argument] incompatible argument for parameter element of getChildElementContent.,[argument] incompatible argument for parameter end of substring.,[argument] incompatible argument for parameter endIndex of substring.,[argument] incompatible argument for parameter foo of assertEquals.,[argument] incompatible argument for parameter index of charAt.,[argument] incompatible argument for parameter info of fillModel.,[argument] incompatible argument for parameter initargs of newInstance.,[argument] incompatible argument for parameter name of loadClass.,[argument] incompatible argument for parameter node of computeBounds.,[argument] incompatible argument for parameter node of setBackFaceNormalFlip.,[argument] incompatible argument for parameter o of MetaDataMutationResult.,[argument] incompatible argument for parameter o of Tasks_2.,[argument] incompatible argument for parameter o of convertPoint.,[argument] incompatible argument for parameter o of defaultButtonHtml.,[argument] incompatible argument for parameter o of getKeyForSchema.,[argument] incompatible argument for parameter o of invoke.,[argument] incompatible argument for parameter o of setValue.,[argument] incompatible argument for parameter o of startTaskExecution.,[argument] incompatible argument for parameter oAuth2TokenProvider of ImapStore.,[argument] incompatible argument for parameter obj of getShort.,[argument] incompatible argument for parameter ownerKey of toLoggableString.,[argument] incompatible argument for parameter p of process.,[argument] incompatible argument for parameter selectionValues of showInputDialog.,[argument] incompatible argument for parameter w of setFullScreenWindow.,[argument] incompatible argument for parameter xEnd of setXEnd.,[argument] incompatible argument for parameter yEnd of setYEnd.,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 0 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 1 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 2 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 3 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 4 could be larger than the array's bound,[array.access.unsafe.high.constant] Potentially unsafe array access: the constant index 5 could be larger than the array's bound,[array.access.unsafe.high.range] Potentially unsafe array access: the index could be larger than the array's bound,[array.access.unsafe.high] Potentially unsafe array access: the index could be larger than the array's bound,[array.access.unsafe.low] Potentially unsafe array access: the index could be negative.,[array.length.negative] Variable used in array creation could be negative.,[assignment] incompatible types in assignment.,[dereference.of.nullable] dereference of possibly-null reference cl,[dereference.of.nullable] dereference of possibly-null reference cmdLine,[dereference.of.nullable] dereference of possibly-null reference macroCommand,[dereference.of.nullable] dereference of possibly-null reference obj,[dereference.of.nullable] dereference of possibly-null reference transaction,[format.string] invalid format string (is a @Format annotation missing?),[initialization.field.uninitialized] the default constructor does not initialize field next,[initialization.fields.uninitialized] the constructor does not initialize fields: localizibleDescription,"[method.invocation] call to putValue(java.lang.Object,java.lang.Object) not allowed on the given receiver.",[method.invocation] call to setLocalizibleDescription(Pom.Localizable) not allowed on the given receiver.,[not.interned] attempting to use a non-@Interned comparison operand,[override.param] Incompatible parameter type for obj.,[removal] Boolean(boolean) in Boolean has been deprecated and marked for removal,[removal] Double(double) in Double has been deprecated and marked for removal,[removal] Integer(int) in Integer has been deprecated and marked for removal,[required.method.not.called] @MustCall method close may not have been invoked on s or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on serverSocket or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on stream or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-111 or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-347 or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-801 or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-956 or any of its aliases.,[required.method.not.called] @MustCall method close may not have been invoked on temp-var-959 or any of its aliases.,[return] incompatible types in return.,[unboxing.of.nullable] unboxing a possibly-null reference killsTeam.get(killer)
1 -- 12,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 -- 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 -- 19,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
3 -- 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
3 -- 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
3 -- 26,,,2.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 3,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 35,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
3 -- 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
3 -- 39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 53,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
3 -- 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
3 -- 70,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
3 -- 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 -- 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
3 -- 86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 1 -- ClassifierPerformanceEvaluatorCustomizer,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 -- 1 -- GeneratorPropertyIteratorPanel,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
6 -- 1 -- ModelPerformanceChart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
