dataset_id,snippet_id,person_id,developer_position,PE gen,PE spec (java),time_to_give_output,correct_output_rating,output_difficulty,brain_deact_31ant,brain_deact_31post,brain_deact_32,time_to_understand,readability_level,binary_understandability,correct_verif_questions,gap_accuracy,readability_level_ba,readability_level_before,time_to_read_complete,perc_correct_output,complexity_level,brain_deact_31,warnings_checker_framework,warnings_typestate_checker,warnings_infer,warnings_openjml,warning_sum,method_name,file,#parameters,#assignments,#commas,#periods,#spaces,#literals,#statements,Volume,Entropy,#identifiers,CR,#conditionals (avg),#loops (avg),#assignments (avg),#comparisons (avg),#comments (avg),#operators (avg),Identifiers Length (avg),#keywords (avg),#commas (avg),#parenthesis (avg),#periods (avg),#spaces (avg),Line length (avg),Indentation length (avg),#blank lines (avg),#numbers (avg),#identifiers (avg),#nested blocks (avg),MIDQ (avg),CIC (avg),CICSyn (avg),#numbers (max),Identifiers length (max),Indentation length (max),Line length (max),#keywords (max),#identifiers (max),#words (max),MIDQ (max),CIC (max),CICSyn (max),#identifiers (min),MIDQ (min),Cyclomatic complexity,NMI (avg),NMI (max),ITID (avg),ITID (min),NM (avg),NM (max),LOC,#assignments (dft),#characters (max),#commas (dft),#comments (dft),Comments (Visual X),Comments (Visual Y),#comparisons (dft),#conditionals (dft),#identifiers (dft),Identifiers (Visual X),Identifiers (Visual Y),#keywords (dft),Literals (Visual X),Literals (Visual Y),#loops (dft),#numbers (dft),Numbers (Visual X),Numbers (Visual Y),Operators (Visual X),Operators (Visual Y),#operators (dft),#parenthesis (dft),#periods (dft),#spaces (dft),Strings (Visual X),Strings (Visual Y),Indentation length (dft),Line length (dft),#aligned blocks,Extent of aligned blocks,TC (avg),TC (min),TC (max),Readability,Keywords (Visual X),Keywords (Visual Y),PBU,ABU,ABU50,BD,BD50,AU
6,1-ClassifierPerformanceEvaluatorCustomizer,4,1.0,2.0,1.0,,,,,,,408.0,,1.0,0.666666667,,,,,,,,1,19,0,4,24,addButtons,ds_6_snip_1$ClassifierPerformanceEvaluatorCustomizer_addButtons.java,0,6,4,16,410,12,44,485.88941405871947,2.1129174875132137,66,0.0,0.1052631578947368,0.0263157894736842,0.1578947368421052,0.1052631578947368,0.0,0.0263157894736842,8.636363636363637,0.3947368421052631,0.1052631578947368,1.631578947368421,0.4210526315789473,10.789473684210526,31.625,9.157894736842104,0.131578947368421,0.131578947368421,1.736842105263158,0.131578947368421,0.0,0.0,0.0,2,28,20.0,104.0,2,6,23,0.0,0.0,0.0,1,100.0,8,2.8292682926829267,28.0,0.2466666666666666,0.0,1.6766666666666667,17,41,45,446,46,45,0.0,0.0,46,46,46,77.93478261,44.82278481,46,0,0.0,46,46,77.54347826,44.69620253,77.93478261,44.74683544,46,46,46,46,77.93478261,44.69620253,46,46,39,53,,,,0.431357617,77.93478261,44.72151899,1,0,1,1,0,2
6,1-ModelPerformanceChart,4,1.0,2.0,1.0,,,,,,,83.0,,1.0,0.333333333,,,,,,,,3,14,0,29,46,performRequest,ds_6_snip_1$ModelPerformanceChart_performRequest.java,1,8,2,26,479,14,47,502.30320088995046,1.7253018770957154,65,27.485000000000014,0.0769230769230769,0.0,0.2051282051282051,0.0256410256410256,0.0512820512820512,0.0256410256410256,8.261538461538462,0.4102564102564102,0.0512820512820512,1.2820512820512822,0.6666666666666666,12.282051282051285,31.925,10.871794871794872,0.0256410256410256,0.0769230769230769,1.6666666666666667,0.1794871794871795,0.0,0.0139714985868832,0.0160800214398229,2,24,24.0,77.0,2,7,27,0.0,0.1363636363636363,0.1290322580645161,1,100.0,7,2.4047619047619047,15.0,0.2738095238095238,0.0,1.6263736263736264,23,42,44,540,44,50,72.96,48.97297297,44,44,44,71.7,48.94594595,44,0,0.0,1,44,73.0,48.93243243,72.82,48.90540541,44,44,44,44,72.96,48.86486486,44,1,52,94,,,,0.728879601,72.96,48.7027027,1,0,0,1,1,1
6,1-SpringBatch,4,1.0,2.0,1.0,,,,,,,228.0,,1.0,1.0,,,,,,,,0,17,0,7,24,testFailureAndRecovery,ds_6_snip_1$SpringBatch_testFailureAndRecovery.java,0,3,9,15,692,7,42,516.2341910549894,1.598810820036897,83,0.0,0.0,0.0,0.0666666666666666,0.0,0.0,0.0222222222222222,9.49397590361446,0.6,0.2,1.6,0.3333333333333333,15.377777777777778,37.645833333333336,13.688888888888888,0.0,0.0444444444444444,1.8444444444444448,0.1333333333333333,0.0,0.0,0.0,1,22,28.0,112.0,3,7,31,0.0,0.0,0.0,1,100.0,11,4.895833333333333,19.0,0.5317142857142857,0.0,2.543904761904762,22,48,48,160,48,1,0.0,0.0,48,1,44,100.9375,46.78431373,48,0,0.0,1,48,0.0,0.0,100.9583333,46.76470588,48,44,48,48,100.9583333,46.88235294,48,43,77,80,,,,0.489948098,100.9791667,46.71568627,1,1,1,0,0,3
6,2-SpringBatch,4,1.0,2.0,1.0,,,,,,,1150.0,,1.0,0.666666667,,,,,,,,0,7,1,0,8,testArtifactUniqueness,ds_6_snip_2$SpringBatch_testArtifactUniqueness.java,0,10,19,18,123,36,38,539.7501707713545,2.964255489562477,61,0.0,0.0,0.0,0.4545454545454545,0.0,0.0,0.0,9.475409836065571,0.1818181818181818,0.8636363636363636,2.727272727272727,0.8181818181818182,5.590909090909091,42.22727272727273,3.4545454545454546,0.4090909090909091,0.0,2.772727272727273,0.0,0.0,0.0,0.0,0,22,4.0,69.0,3,4,11,0.0,0.0,0.0,2,100.0,1,2.24,9.0,0.3333333333333333,0.25,1.75,17,25,24,191,34,24,0.0,0.0,1,1,24,89.0,31.06666667,34,0,0.0,1,34,0.0,0.0,88.67647059,30.17777778,1,24,24,24,89.0,31.57777778,24,24,86,86,,,,0.40848285,88.97058824,32.9,1,0,1,1,0,2
6,3-Phoenix,4,1.0,2.0,1.0,,,,,,,644.0,,1.0,0.666666667,,,,,,,,0,28,0,12,40,configure,ds_6_snip_3$Phoenix_configure.java,1,14,10,46,299,9,62,884.6374286779877,2.9806908701463537,125,0.0,0.0952380952380952,0.0476190476190476,0.3333333333333333,0.0,0.0,0.0,9.928,0.3571428571428571,0.238095238095238,1.9523809523809523,1.0952380952380951,7.119047619047619,44.19047619047619,5.428571428571429,0.1666666666666666,0.0,2.9761904761904763,0.1904761904761904,0.0,0.0,0.0,0,28,12.0,108.0,2,7,15,0.0,0.0,0.0,1,100.0,8,6.8,26.0,0.3991071428571428,0.0,2.6141369047619047,18,45,52,567,51,52,0.0,0.0,1,52,52,161.0,50.82716049,52,0,0.0,52,52,0.0,0.0,160.7692308,50.7962963,1,52,52,52,161.0,50.91975309,52,52,112,158,,,,0.062191479,160.8653846,50.85802469,1,0,1,1,0,2
6,3-SpringBatch,4,1.0,2.0,1.0,,,,,,,99.0,,1.0,1.0,,,,,,,,1,6,1,1,9,testOperationWithDirectCloseCall,ds_6_snip_3$SpringBatch_testOperationWithDirectCloseCall.java,0,9,8,19,132,7,46,432.69476269687567,3.383237018153259,75,119.19000000000004,0.0,0.0,0.3461538461538461,0.0,0.1153846153846153,0.0,7.92,0.1923076923076923,0.3076923076923077,2.1538461538461537,0.7307692307692307,5.076923076923077,34.61538461538461,3.5384615384615383,0.2307692307692307,0.0,2.8846153846153846,0.0,0.0,0.0641075365057265,0.0439880529328909,0,33,4.0,93.0,3,5,10,0.0,0.2142857142857142,0.1538461538461538,1,100.0,1,3.724137931034482,18.0,0.29375,0.0,5.1375,37,29,32,108,32,35,91.0,32.84782609,1,1,32,91.0,33.76086957,32,0,0.0,1,32,0.0,0.0,90.82857143,33.7826087,1,32,32,32,90.97142857,33.91304348,32,34,35,45,,,,0.689620376,90.85714286,33.83695652,1,1,1,0,0,3
6,4-SpringBatch,4,1.0,2.0,1.0,,,,,,,53.0,,1.0,0.333333333,,,,,,,,2,8,0,2,12,testCustomRecordSeparatorMultilineBlankLineAfterEnd,ds_6_snip_4$SpringBatch_testCustomRecordSeparatorMultilineBlankLineAfterEnd.java,0,1,2,7,215,5,20,210.90827503317325,2.2277038855296274,40,201.76,0.04,0.0,0.04,0.0,0.04,0.0,9.2,0.48,0.08,1.28,0.28,8.6,26.55172413793104,7.2,0.32,0.0,1.6,0.04,0.0,0.0355555555555555,0.0215714285714285,0,51,16.0,84.0,3,4,19,0.0,0.25,0.125,1,100.0,6,4.607142857142857,15.0,0.6777777777777777,0.3333333333333333,8.966666666666667,36,28,36,82,36,36,90.0,36.0,1,36,34,89.94594595,35.73626374,36,0,0.0,1,36,0.0,0.0,89.81081081,35.76923077,1,34,36,36,89.91891892,35.89010989,36,37,24,24,,,,0.819968209,89.97297297,35.7032967,1,0,0,1,1,1
6,5-SpringBatch,4,1.0,2.0,1.0,,,,,,,238.0,,1.0,0.666666667,,,,,,,,0,9,1,2,12,initWriterForSimpleCallbackTests,ds_6_snip_5$SpringBatch_initWriterForSimpleCallbackTests.java,0,3,4,10,283,7,26,260.05594662738457,2.117817275215564,46,0.0,0.0,0.0,0.1034482758620689,0.0,0.0,0.0,10.76086956521739,0.5862068965517241,0.1379310344827586,1.3793103448275863,0.3448275862068966,9.758620689655173,31.70967741935484,8.137931034482758,0.1724137931034483,0.0,1.5862068965517242,0.1379310344827586,0.0,0.0,0.0,0,32,16.0,69.0,3,4,19,0.0,0.0,0.0,2,100.0,7,4.0625,21.0,0.4791666666666667,0.25,1.7083333333333333,10,32,34,97,34,35,0.0,0.0,1,1,33,97.94594595,35.33333333,33,0,0.0,1,34,0.0,0.0,97.94594595,35.38383838,1,33,32,34,98.0,35.83838384,34,36,33,33,,,,0.628293008,97.97297297,35.44444444,1,0,1,1,0,2
6,1-CarReport,5,2.0,2.0,2.0,,,,,,,12.0,,1.0,0.333333333,,,,,,,,1,14,1,6,22,save,ds_6_snip_1$CarReport_save.java,0,4,1,21,259,3,34,354.2428288627686,2.332275645435662,60,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0333333333333333,0.0,0.0,9.933333333333334,0.5666666666666667,0.0333333333333333,2.1333333333333333,0.7,8.633333333333333,34.5625,7.2,0.1333333333333333,0.0,2.0,0.1333333333333333,0.0,0.0,0.0,0,31,12.0,84.0,2,6,17,0.0,0.0,0.0,1,100.0,5,3.606060606060606,14.0,0.3212962962962963,0.0,3.175,17,33,36,383,37,37,0.0,0.0,37,37,36,87.94594595,35.78651685,37,0,0.0,1,37,0.0,0.0,87.91891892,35.82022472,1,37,37,36,0.0,0.0,36,36,59,63,,,,0.616645609,87.94594595,35.82022472,1,0,0,1,1,1
6,1-CheckEstimator,5,2.0,2.0,2.0,,,,,,,30.0,,1.0,0.666666667,,,,,,,,0,13,0,0,13,printAttributeSummary,ds_6_snip_1$CheckEstimator_printAttributeSummary.java,2,16,1,14,453,20,54,523.1868677283866,2.1205363067404748,57,112.085,0.2040816326530612,0.0,0.3265306122448979,0.0816326530612244,0.0204081632653061,0.1020408163265306,5.754385964912281,0.3469387755102041,0.0204081632653061,0.6530612244897959,0.2857142857142857,9.244897959183673,21.081632653061224,7.591836734693878,0.1836734693877551,0.0816326530612244,1.163265306122449,0.2040816326530612,0.0,0.0312333629103815,0.0305960701552409,1,21,12.0,74.0,3,4,17,0.0,0.0869565217391304,0.08,1,100.0,15,2.0,16.0,0.3181818181818182,0.0,2.242424242424242,17,52,55,558,62,67,71.1641791,65.93670886,62,62,46,77.92537313,65.86075949,62,0,0.0,1,62,78.0,66.0,77.70149254,65.92405063,62,62,61,61,77.97014925,65.79746835,61,67,38,45,,,,0.975625157,77.97014925,65.92405063,1,0,1,1,0,2
