dataset_id,snippet_id,person_id,time_to_give_output,correct_output_rating,output_difficulty,brain_deact_31ant,brain_deact_31post,brain_deact_32,time_to_understand,readability_level,binary_understandability,correct_verif_questions,gap_accuracy,readability_level_ba,readability_level_before,time_to_read_complete,perc_correct_output,complexity_level,brain_deact_31,warnings_checker_framework,warnings_typestate_checker,warnings_infer,warnings_openjml,warning_sum,method_name,file,parameters,ifStatements,loops,assignmentExpressions,commas,periods,spaces,comparisons,parenthesis,literals,avgComments,avgComparisons,avgOperators,avgConditionals,LOC
1,1,1.0,28.807,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,2.0,89.007,1.0,2.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,3.0,53.406,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,4.0,63.906,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,5.0,77.075,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,6.0,42.007,2.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,7.0,55.816,0.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,8.0,36.49,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,9.0,85.862,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,10.0,47.273,2.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,11.0,26.76,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,12.0,27.303,2.0,4.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,13.0,94.955,2.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,14.0,100.71,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,15.0,54.376,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
1,1,16.0,41.042,1.0,3.0,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,main1,ds_1_snip_1_main1.java,1,0,1,1,0,1,55,1,3,3,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,9
